DATE,TMAX,TMIN,TAVG,PREC,RAIN,SNOW
1/1/2023,73.7,53.9,62.1,0,0,0
1/2/2023,71,61.2,66.1,0.12,0.12,0
1/3/2023,65,46.8,57.1,0,0,0
1/4/2023,55.7,37.8,46.5,0,0,0
1/5/2023,58.5,35.7,45.7,0,0,0
1/6/2023,68.4,42.6,54.2,0,0,0
1/7/2023,61.7,49.4,55.8,0.02,0.02,0
1/8/2023,57.6,40.4,48.4,0,0,0
1/9/2023,66.2,40,51.1,0,0,0
1/10/2023,77.7,48.8,61.2,0,0,0
1/11/2023,79.8,53.3,65.9,0,0,0
1/12/2023,65.2,45.2,52.1,0,0,0
1/13/2023,55.3,36.8,45.4,0,0,0
1/14/2023,60,37.7,47.6,0,0,0
1/15/2023,68.8,49,57.6,0,0,0
1/16/2023,73.5,57.3,63.9,0,0,0
1/17/2023,73,51.8,61.2,0,0,0
1/18/2023,68.8,55.4,62,0.209,0.209,0
1/19/2023,58.3,43.6,51.7,0,0,0
1/20/2023,58.9,39.3,48.4,0,0,0
1/21/2023,56.5,45.7,50.1,0.004,0.004,0
1/22/2023,52.1,39.6,45.2,0,0,0
1/23/2023,52,33.7,42.5,0,0,0
1/24/2023,45.9,35.7,41.7,0.799,0.775,0.165
1/25/2023,46.7,36.9,41,0,0,0
1/26/2023,52.7,33.1,41.7,0,0,0
1/27/2023,60.2,36.4,46.5,0,0,0
1/28/2023,66.4,45.7,54.8,0.012,0.012,0
1/29/2023,57.4,36.2,46.4,0.02,0.02,0
1/30/2023,35.4,28.2,30.4,0.331,0.331,0
1/31/2023,29,27,27.8,0.056,0.056,0
2/1/2023,31.3,27.9,29.6,0.358,0.358,0
2/2/2023,35.8,30.3,32.9,0.238,0.238,0
2/3/2023,50.2,29.6,38.5,0,0,0
2/4/2023,58.4,33.5,44.4,0,0,0
2/5/2023,65.8,40.4,52.2,0,0,0
2/6/2023,70.1,52.4,59.7,0,0,0
2/7/2023,61.4,47.6,56.3,0.514,0.514,0
2/8/2023,47.5,38.3,44.9,1.417,1.417,0
2/9/2023,60,33.5,46.2,0,0,0
2/10/2023,50.3,38.6,43.3,0.02,0.02,0
2/11/2023,53,33.3,42,0,0,0
2/12/2023,63.5,33.9,47.3,0,0,0
2/13/2023,63.5,40.2,52.5,0.012,0.012,0
2/14/2023,68.3,53.2,60.7,0.575,0.575,0
2/15/2023,74.6,44.5,60.7,0,0,0
2/16/2023,64.5,38.7,45.7,0.004,0.004,0
2/17/2023,48.4,32.1,39.2,0,0,0
2/18/2023,52.9,31.8,42.4,0,0,0
2/19/2023,66.8,45.5,54.8,0,0,0
2/20/2023,76.4,57.6,65.5,0,0,0
2/21/2023,82.5,54.5,68.5,0,0,0
2/22/2023,77.2,61.8,68.6,0.397,0.397,0
2/23/2023,62.3,46.1,54.4,0.02,0.02,0
2/24/2023,46.7,43.6,45,0.056,0.056,0
2/25/2023,47,40.3,43.2,0.17,0.17,0
2/26/2023,72.8,47.1,58.5,0.012,0.012,0
2/27/2023,71,52.4,62.4,0.157,0.157,0
2/28/2023,77.9,48.5,62,0,0,0
3/1/2023,71.2,61.4,66.5,0.154,0.154,0
3/2/2023,77.9,56.8,66.3,0.933,0.933,0
3/3/2023,63,46.5,54.5,0.142,0.142,0
3/4/2023,73.3,46.8,58,0,0,0
3/5/2023,74.8,54.4,63.3,0,0,0
3/6/2023,79.1,56.4,66.9,0,0,0
3/7/2023,74.7,57,66.9,0.028,0.028,0
3/8/2023,67.2,53,55.5,0.328,0.328,0
3/9/2023,65.6,55.8,58.9,0.147,0.147,0
3/10/2023,63.1,46.7,55.4,0.008,0.008,0
3/11/2023,83.7,56,67.5,0,0,0
3/12/2023,64.8,51.6,58.2,0,0,0
3/13/2023,57.3,45,50.6,0.004,0.004,0
3/14/2023,59.3,42,50.7,0,0,0
3/15/2023,64.6,47,55.7,0,0,0
3/16/2023,76,48,62.5,0.605,0.605,0
3/17/2023,52.8,41.4,46.7,0,0,0
3/18/2023,52.5,40.4,46.4,0,0,0
3/19/2023,50.3,34,42.4,0,0,0
3/20/2023,54.8,39.6,47.4,0,0,0
3/21/2023,64.7,50.3,57.4,0.104,0.104,0
3/22/2023,79.7,64.9,71.1,0.028,0.028,0
3/23/2023,80,66.2,72.8,0.036,0.036,0
3/24/2023,73.7,60.3,68.8,0.61,0.61,0
3/25/2023,72.5,53.5,62.3,0,0,0
3/26/2023,72.9,47.2,60.2,0,0,0
3/27/2023,68.4,46.6,57.7,0.04,0.04,0
3/28/2023,61.5,50,55.3,0.004,0.004,0
3/29/2023,62.3,46.6,53.8,0.083,0.083,0
3/30/2023,70.1,58.4,64.1,0.155,0.155,0
3/31/2023,81.8,62.3,72.3,0.008,0.008,0
4/1/2023,70.7,55.1,62.8,0,0,0
4/2/2023,76.4,55.1,63.2,0.826,0.826,0
4/3/2023,89.1,64.4,75.1,0,0,0
4/4/2023,80.8,69.7,75.6,0,0,0
4/5/2023,74.9,54.5,64,0.225,0.225,0
4/6/2023,59.8,48.9,54.6,0,0,0
4/7/2023,60.7,51.5,55.8,0.004,0.004,0
4/8/2023,67.7,54,60.1,0,0,0
4/9/2023,71,51.2,61.8,0.004,0.004,0
4/10/2023,72.3,56.3,64,0.008,0.008,0
4/11/2023,72.8,55.2,63.9,0,0,0
4/12/2023,74.8,51.8,63.5,0,0,0
4/13/2023,76,55.8,65.9,0,0,0
4/14/2023,78,60,68.6,0.012,0.012,0
4/15/2023,79.2,63.3,71.8,0.028,0.028,0
4/16/2023,70.5,49.6,61.1,0,0,0
4/17/2023,78.4,50.3,64.4,0,0,0
4/18/2023,73.7,59.6,67.4,0.008,0.008,0
4/19/2023,82.2,66,72.4,0.024,0.024,0
4/20/2023,78.1,65.8,71.7,0.241,0.241,0
4/21/2023,73.8,56.7,65.8,0,0,0
4/22/2023,72.9,54.1,62,0.008,0.008,0
4/23/2023,57.5,49.3,52.4,0.382,0.382,0
4/24/2023,66.4,49,56.5,0.04,0.04,0
4/25/2023,69.7,56.2,61.5,0.14,0.14,0
4/26/2023,65.6,59,61.2,1.371,1.371,0
4/27/2023,67,57.3,61.4,0.048,0.048,0
4/28/2023,72.9,51.1,60.3,0.524,0.524,0
4/29/2023,69.2,52.1,59.6,0.004,0.004,0
4/30/2023,78.2,55,65.5,0,0,0
5/1/2023,73.2,54.6,64,0,0,0
5/2/2023,79.1,53.9,66.8,0,0,0
5/3/2023,77.6,62.3,69.4,0,0,0
5/4/2023,81,62.9,71.4,0.079,0.079,0
5/5/2023,92.4,70.6,79.1,0.056,0.056,0
5/6/2023,85.7,70.1,77.9,0,0,0
5/7/2023,84,68.8,76.5,0.036,0.036,0
5/8/2023,85.2,69.7,76.6,0.008,0.008,0
5/9/2023,83.8,69.8,75.3,0.043,0.043,0
5/10/2023,74.3,68,71.1,0.324,0.324,0
5/11/2023,81.8,64.9,71.6,0.036,0.036,0
5/12/2023,83,71.9,76,0.091,0.091,0
5/13/2023,82.3,68.7,72.5,0.733,0.733,0
5/14/2023,76.6,68.1,71.5,0.749,0.749,0
5/15/2023,83.6,66.5,73.5,0.107,0.107,0
5/16/2023,76.7,66.9,71.2,0.016,0.016,0
5/17/2023,80.3,60.5,70.9,0,0,0
5/18/2023,83.5,64.3,74.3,0,0,0
5/19/2023,87.1,70.2,77,0.111,0.111,0
5/20/2023,77,62.2,69.9,0,0,0
5/21/2023,75.9,61.1,69,0,0,0
5/22/2023,80.1,61.9,71.1,0,0,0
5/23/2023,82.2,65.7,74.1,0.071,0.071,0
5/24/2023,83.3,68.2,74.9,0.012,0.012,0
5/25/2023,80.9,65.9,74.3,0,0,0
5/26/2023,85.1,66,76.1,0,0,0
5/27/2023,83.9,68.3,76.7,0,0,0
5/28/2023,86,66.8,76.4,0.012,0.012,0
5/29/2023,87.1,67.8,76.7,0.051,0.051,0
5/30/2023,86.4,69.2,77.1,0.02,0.02,0
5/31/2023,87.2,69.2,78.5,0,0,0
6/1/2023,86.6,71,79.4,0.016,0.016,0
6/2/2023,89.2,71.9,81,0,0,0
6/3/2023,84.8,70.7,75.6,0.71,0.71,0
6/4/2023,85.2,67.3,75.5,0.004,0.004,0
6/5/2023,83.4,69.1,76.5,0.078,0.078,0
6/6/2023,87.8,70.3,78.6,0.06,0.06,0
6/7/2023,88.4,70.1,79.5,0.024,0.024,0
6/8/2023,90.2,70.5,80.2,0.016,0.016,0
6/9/2023,92.4,71.4,82.3,0,0,0
6/10/2023,94,77.5,83.2,0.067,0.067,0
6/11/2023,94.5,73.7,82.5,0.106,0.106,0
6/12/2023,84.2,73.1,78.9,0.016,0.016,0
6/13/2023,79.6,69.2,74,1.096,1.096,0
6/14/2023,87.5,70.7,78.2,0.548,0.548,0
6/15/2023,92.8,73.7,82.1,0.004,0.004,0
6/16/2023,90.4,76.9,83.8,0.028,0.028,0
6/17/2023,91.8,74.6,83,0.008,0.008,0
6/18/2023,90.3,75.4,83.2,0.107,0.107,0
6/19/2023,96.6,72.4,84.4,0,0,0
6/20/2023,95.9,80.7,88,0,0,0
6/21/2023,92.1,79.2,84.9,0.008,0.008,0
6/22/2023,90,76.4,83.1,0.024,0.024,0
6/23/2023,91.4,75.8,82.8,0.08,0.08,0
6/24/2023,97.3,78.3,87.4,0,0,0
6/25/2023,100.3,80.8,90.4,0,0,0
6/26/2023,101.2,82.1,91.1,0.043,0.043,0
6/27/2023,101.3,80.8,90.5,0,0,0
6/28/2023,100.2,81.8,90.8,0,0,0
6/29/2023,100.1,80.9,90.2,0,0,0
6/30/2023,96.8,81.3,89.1,0,0,0
7/1/2023,92.9,80.3,85.4,0.004,0.004,0
7/2/2023,92,73.9,83.7,0,0,0
7/3/2023,97.9,79.2,87,0.004,0.004,0
7/4/2023,96.2,76.6,85.8,0.063,0.063,0
7/5/2023,95.9,80.9,87.8,0.012,0.012,0
7/6/2023,94.4,79.7,85.5,0.245,0.245,0
7/7/2023,93.4,78,85.8,0,0,0
7/8/2023,94.6,80.6,86.9,0,0,0
7/9/2023,96.7,81.8,85.7,0.064,0.064,0
7/10/2023,94.3,76.8,84.3,0.108,0.108,0
7/11/2023,94.3,82.2,88.1,0.008,0.008,0
7/12/2023,103.1,83.3,92.5,0,0,0
7/13/2023,102.1,82.4,92.5,0,0,0
7/14/2023,101.3,83.4,92.4,0.004,0.004,0
7/15/2023,97.8,82.7,89.8,0.04,0.04,0
7/16/2023,91.5,81.2,85.5,0.161,0.161,0
7/17/2023,103.6,78.4,90.6,0,0,0
7/18/2023,106.1,83.8,94.4,0,0,0
7/19/2023,104.3,83,93.5,0,0,0
7/20/2023,102,83.4,92.6,0,0,0
7/21/2023,99.9,82.9,91.7,0,0,0
7/22/2023,93.3,77.2,85.2,0,0,0
7/23/2023,96.5,73.8,85.5,0,0,0
7/24/2023,100.9,76.4,89.1,0,0,0
7/25/2023,102.4,80.8,92,0,0,0
7/26/2023,101.2,82.4,91.8,0,0,0
7/27/2023,100.7,82.3,91.6,0,0,0
7/28/2023,100.3,81.9,91.5,0,0,0
7/29/2023,100.5,82.3,92.1,0,0,0
7/30/2023,102.4,81.2,92.5,0,0,0
7/31/2023,103.8,81.1,93.5,0,0,0
8/1/2023,105,83.4,94.3,0.004,0.004,0
8/2/2023,105.4,85.4,95.4,0,0,0
8/3/2023,104.4,85.6,95.1,0,0,0
8/4/2023,103.5,85.9,95,0,0,0
8/5/2023,103.9,86.4,95.6,0,0,0
8/6/2023,102.7,85.8,94.8,0,0,0
8/7/2023,102.4,86,94.2,0,0,0
8/8/2023,98.5,84.3,92.5,0.008,0.008,0
8/9/2023,106.2,83.9,94.9,0.004,0.004,0
8/10/2023,104.7,83.6,94.6,0,0,0
8/11/2023,105.7,85.6,95.4,0,0,0
8/12/2023,105.2,83.9,95,0,0,0
8/13/2023,104.8,84.4,94.7,0,0,0
8/14/2023,97.3,85.5,91.4,0.004,0.004,0
8/15/2023,93.3,77.7,85.4,0,0,0
8/16/2023,94.4,72.8,84.2,0,0,0
8/17/2023,107.1,77.1,92,0,0,0
8/18/2023,108.7,83.7,96.8,0,0,0
8/19/2023,106.3,86.1,96.4,0,0,0
8/20/2023,107,84.4,96.3,0,0,0
8/21/2023,104.8,83.6,94.9,0,0,0
8/22/2023,102.7,85.4,94.6,0,0,0
8/23/2023,102,84.8,94,0,0,0
8/24/2023,103,84.5,95.1,0,0,0
8/25/2023,105.4,86.3,96.4,0,0,0
8/26/2023,106.2,87.1,97,0,0,0
8/27/2023,97,84.6,89.2,0.192,0.192,0
8/28/2023,93.4,79.9,86.4,0,0,0
8/29/2023,96.6,76.1,86.5,0,0,0
8/30/2023,97.1,79.5,88.4,0,0,0
8/31/2023,97.1,76.1,87.4,0,0,0
9/1/2023,96.8,78.1,87.7,0,0,0
